场次号,联赛,主队,客队,比分,赔率
周六013,德甲,美因茨,帕德博恩,21:30,0:0,23.00
周六013,德甲,美因茨,帕德博恩,21:30,4:2,35.00
周六013,德甲,美因茨,帕德博恩,21:30,0:2,40.00
周六013,德甲,美因茨,帕德博恩,21:30,1:3,40.00
周六013,德甲,美因茨,帕德博恩,21:30,2:3,40.00
周六013,德甲,美因茨,帕德博恩,21:30,5:1,40.00
周六013,德甲,美因茨,帕德博恩,21:30,5:0,50.00
周六013,德甲,美因茨,帕德博恩,21:30,3:3,60.00
周六013,德甲,美因茨,帕德博恩,21:30,5:2,70.00
周六013,德甲,美因茨,帕德博恩,21:30,0:3,100.00
周六013,德甲,美因茨,帕德博恩,21:30,1:4,150.00
周六013,德甲,美因茨,帕德博恩,21:30,2:4,150.00
周六013,德甲,美因茨,帕德博恩,21:30,0:4,350.00
周六013,德甲,美因茨,帕德博恩,21:30,1:5,550.00
周六013,德甲,美因茨,帕德博恩,21:30,2:5,550.00
周六013,德甲,美因茨,帕德博恩,21:30,0:5,750.00
周六014,英超,考文垂,赫尔城,22:00,1:1,7.00
周六014,英超,考文垂,赫尔城,22:00,2:1,7.00
周六014,英超,考文垂,赫尔城,22:00,1:0,7.25
周六014,英超,考文垂,赫尔城,22:00,2:0,8.00
周六014,英超,考文垂,赫尔城,22:00,0:0,12.00
周六014,英超,考文垂,赫尔城,22:00,1:2,12.00
周六014,英超,考文垂,赫尔城,22:00,3:1,12.00
周六014,英超,考文垂,赫尔城,22:00,3:0,13.00
周六014,英超,考文垂,赫尔城,22:00,0:1,13.50
周六014,英超,考文垂,赫尔城,22:00,2:2,14.00
周六014,英超,考文垂,赫尔城,22:00,0:2,23.00
周六014,英超,考文垂,赫尔城,22:00,3:2,25.00
周六014,英超,考文垂,赫尔城,22:00,4:1,29.00
周六014,英超,考文垂,赫尔城,22:00,4:0,30.00
周六014,英超,考文垂,赫尔城,22:00,1:3,45.00
周六014,英超,考文垂,赫尔城,22:00,2:3,50.00
周六014,英超,考文垂,赫尔城,22:00,4:2,60.00
周六014,英超,考文垂,赫尔城,22:00,3:3,70.00
周六014,英超,考文垂,赫尔城,22:00,0:3,75.00
周六014,英超,考文垂,赫尔城,22:00,5:0,75.00
周六014,英超,考文垂,赫尔城,22:00,5:1,75.00
周六014,英超,考文垂,赫尔城,22:00,1:4,175.00
周六014,英超,考文垂,赫尔城,22:00,2:4,175.00
周六014,英超,考文垂,赫尔城,22:00,5:2,175.00
周六014,英超,考文垂,赫尔城,22:00,0:4,300.00
周六014,英超,考文垂,赫尔城,22:00,1:5,500.00
周六014,英超,考文垂,赫尔城,22:00,0:5,600.00
周六014,英超,考文垂,赫尔城,22:00,2:5,600.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,1:1,7.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,2:1,7.50
周六015,英超,伯恩茅斯,埃弗顿,22:00,1:0,8.50
周六015,英超,伯恩茅斯,埃弗顿,22:00,2:0,10.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,1:2,10.50
周六015,英超,伯恩茅斯,埃弗顿,22:00,2:2,12.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,0:1,12.50
周六015,英超,伯恩茅斯,埃弗顿,22:00,0:0,13.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,3:1,14.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,3:0,17.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,0:2,19.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,3:2,23.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,1:3,27.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,2:3,30.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,4:1,30.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,4:0,36.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,0:3,50.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,3:3,50.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,4:2,60.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,1:4,90.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,5:1,90.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,2:4,100.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,5:0,100.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,0:4,150.00
周六015,英超,伯恩茅斯,埃弗顿,22:00,5:2,175.00
