场次号,联赛,主队,客队,更新时间,比分,赔率
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,1:5,125.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,2:0,15.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,2:1,8.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,2:2,11.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,2:3,21.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,2:4,55.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,2:5,175.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,3:0,29.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,3:1,18.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,3:2,22.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,3:3,41.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,4:0,80.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,4:1,50.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,4:2,60.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,5:0,250.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,5:1,175.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-28 11:36:44,5:2,200.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,0:0,17.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,0:1,11.50
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,0:2,14.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,0:3,27.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,0:4,70.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,0:5,175.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,1:0,12.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,1:1,7.25
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,1:2,7.75
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,1:3,16.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,1:4,45.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,1:5,125.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,2:0,15.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,2:1,8.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,2:2,11.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,2:3,21.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,2:4,50.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,2:5,150.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,3:0,29.00
周六011,德甲,柏林联合,法兰克福,21:30,2026-08-29 11:20:31,3:1,18.00
