match_id,date,home_team_name,away_team_name,competition_name,actual_result,BaselinePlatt_away,BaselinePlatt_draw,BaselinePlatt_home,TempScaling_away,TempScaling_draw,TempScaling_home,VectorScaling_away,VectorScaling_draw,VectorScaling_home,Isotonic-OVR_away,Isotonic-OVR_draw,Isotonic-OVR_home,Temp_plus_DrawCal0.95_away,Temp_plus_DrawCal0.95_draw,Temp_plus_DrawCal0.95_home
2017-11-29_布赖顿_水晶宫,2017-11-29,布赖顿,水晶宫,英超,1,0.23491698561818158,0.401569680780612,0.3635133336012064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-29_沃特福德_曼彻斯特联,2017-11-29,沃特福德,曼彻斯特联,英超,0,0.6647884156796346,0.14057209264878398,0.19463949167158134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-29_西布罗姆维奇_纽卡斯尔联,2017-11-29,西布罗姆维奇,纽卡斯尔联,英超,1,0.2579055167043831,0.30316785432023297,0.43892662897538404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-29_莱切斯特城_托特纳姆热刺,2017-11-29,莱切斯特城,托特纳姆热刺,英超,2,0.7139423571826408,0.08814040248171369,0.19791724033564562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_图卢兹_尼斯,2017-11-30,图卢兹,尼斯,法甲,0,0.29638702307690284,0.39156457295467173,0.3120484039684254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_昂热_雷恩,2017-11-30,昂热,雷恩,法甲,0,0.17405339845801138,0.27076096140680933,0.5551856401351793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_甘冈_蒙彼利埃,2017-11-30,甘冈,蒙彼利埃,法甲,1,0.3250970872383205,0.4221688998018859,0.2527340129597936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_梅斯_马赛,2017-11-30,梅斯,马赛,法甲,0,0.7013532251097974,0.11610082787975755,0.18254594701044513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_南特_摩纳哥,2017-11-30,南特,摩纳哥,法甲,2,0.5741925384247633,0.1780874111778008,0.2477200503974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_里昂_里尔,2017-11-30,里昂,里尔,法甲,0,0.07784978894663748,0.09906001404812798,0.8230901970052347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_伯恩茅斯_伯恩利,2017-11-30,伯恩茅斯,伯恩利,英超,0,0.17439733892441672,0.30170995180486576,0.5238927092707175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_阿森纳_哈德斯菲尔德,2017-11-30,阿森纳,哈德斯菲尔德,英超,2,0.05939450741295864,0.07817165146246845,0.8624338411245729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_切尔西_斯旺西,2017-11-30,切尔西,斯旺西,英超,2,0.06907644295227493,0.1558651584110853,0.7750583986366397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_埃弗顿_西汉姆联,2017-11-30,埃弗顿,西汉姆联,英超,2,0.24476915699768229,0.3304485325492027,0.42478231045311504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_曼彻斯特城_南安普敦,2017-11-30,曼彻斯特城,南安普敦,英超,2,0.07094297384604116,0.08965119329345791,0.839405832860501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_斯托克城_利物浦,2017-11-30,斯托克城,利物浦,英超,0,0.743838223459118,0.07721539016122855,0.17894638637965352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30_巴黎圣日尔曼_特鲁瓦,2017-11-30,巴黎圣日尔曼,特鲁瓦,法甲,2,0.06043002979278125,0.07842490184160757,0.8611450683656112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_弗赖堡_汉堡,2017-12-02,弗赖堡,汉堡,德甲,1,0.31902158971187483,0.2818132366341437,0.3991651736539815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_第戎_波尔多,2017-12-02,第戎,波尔多,法甲,2,0.5153821512178686,0.22622208339850022,0.25839576538363124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_拜仁慕尼黑_汉诺威96,2017-12-02,拜仁慕尼黑,汉诺威96,德甲,2,0.0599772868284937,0.08239492111103514,0.8576277920604711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_美因茨_奥格斯堡,2017-12-02,美因茨,奥格斯堡,德甲,0,0.38297615262928403,0.33095180533444263,0.28607204203627334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_霍芬海姆_莱比锡红牛,2017-12-02,霍芬海姆,莱比锡红牛,德甲,2,0.4317553903976903,0.30139219541155343,0.2668524141907563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_云达不来梅_斯图加特,2017-12-02,云达不来梅,斯图加特,德甲,2,0.21704328426352318,0.36841192211420426,0.41454479362227253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02_马拉加_莱万特,2017-12-02,马拉加,莱万特,西甲,1,0.15614541927677472,0.2346187942440759,0.6092357864791494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
