match_id,date,home_team_name,away_team_name,competition_name,actual_result,BaselinePlatt_away,BaselinePlatt_draw,BaselinePlatt_home,TempScalingon raw_away,TempScalingon raw_draw,TempScalingon raw_home,Mono-Pooledon raw_away,Mono-Pooledon raw_draw,Mono-Pooledon raw_home,Mono-OVRon raw_away,Mono-OVRon raw_draw,Mono-OVRon raw_home,Mono-Pooledon Temp_away,Mono-Pooledon Temp_draw,Mono-Pooledon Temp_home
2025-10-19_Olympique de Marseille_Le Havre,2025-10-19,马赛,勒阿弗尔,法甲,2,0.09789107812168224,0.10329762723047063,0.7988112946478471,0.11040067406048554,0.22012318794922756,0.6694761379902869,0.09135874820523339,0.21654115509713717,0.6921000966976294,0.08656543443089207,0.1707031381520539,0.742731427417054,0.09260960561842263,0.2117847628949877,0.6956056314865897
2025-10-19_Torino_SSC Napoli,2025-10-19,都灵,那不勒斯,意甲,2,0.5900314837860116,0.24241419718044085,0.1675543190335476,0.5612271860286013,0.3319177651203349,0.10685504885106382,0.5986507955231362,0.3072478311630099,0.09410137331385399,0.5760663057117079,0.296587585487539,0.12734610880075303,0.6024204087566797,0.30434598079797825,0.09323361044534226
2025-10-19_FC St. Pauli_TSG Hoffenheim,2025-10-19,圣保利,霍芬海姆,德甲,0,0.37430500838475084,0.2714960244743035,0.3541989671409458,0.38446915415872146,0.3461411290268422,0.2693897168144364,0.3640998708558239,0.33421745387732943,0.3016826752668467,0.35872678771892436,0.26405206572864237,0.3772211465524334,0.36789967782750044,0.33417287188145767,0.29792745029104195
2025-10-19_SC Freiburg_Eintracht Frankfurt,2025-10-19,弗赖堡,法兰克福,德甲,1,0.43503539340925845,0.2532159420827736,0.31174866450796795,0.4310289783813919,0.33498193732386683,0.2339890842947412,0.4104717703586429,0.32648973250094987,0.2630384971404072,0.40365264829315667,0.2535740354164144,0.34277331629042906,0.4083576763575125,0.32493660479002845,0.26670571885245903
2025-10-19_FC Bayern München_Borussia Dortmund,2025-10-19,拜仁慕尼黑,多特蒙德,德甲,2,0.12509972985146844,0.17045220418641702,0.7044480659621146,0.15351921922172707,0.283666466263477,0.5628143145147959,0.15531350374277603,0.27494340910498033,0.5697430871522435,0.13295098430675042,0.2298268539692911,0.6372221617239586,0.1658882652372829,0.26964287861262193,0.5644688561500952
2025-10-19_Toulouse_Metz,2025-10-19,图卢兹,梅斯,法甲,2,0.13129500798229538,0.2188274936570704,0.6498774983606341,0.16342026821020417,0.32021631809632184,0.5163634136934739,0.18984985689480666,0.3040649800910329,0.5060851630141605,0.15861667229633197,0.2585247412807401,0.5828585864229279,0.19037166363057517,0.2996900277520773,0.5099383086173477
2025-10-19_Genoa_Parma,2025-10-19,热那亚,帕尔马,意甲,1,0.2424443413194617,0.31438762299565404,0.4431680356848843,0.2838317113887729,0.3728423959312128,0.34332589268001434,0.3016826752668467,0.3640998708558239,0.33421745387732943,0.2603223818634335,0.3025600803902606,0.4371175377463059,0.31037329360840776,0.36137781374287187,0.3282488926487203
2025-10-19_Cagliari_Bologna,2025-10-19,卡利亚里,博洛尼亚,意甲,0,0.49050872835747233,0.28772998186661275,0.22176128977591486,0.4810168846444269,0.35727073375306273,0.16171238160251045,0.5018040151083025,0.3067005501433631,0.1914954347483343,0.4873660204307447,0.2770471913708425,0.2355867881984128,0.5041187756719754,0.3072023402032139,0.18867888412481082
2025-10-19_Como_Juventus,2025-10-19,科莫,尤文图斯,意甲,2,0.3881675541586453,0.3440300792514931,0.26780236658986173,0.40669012728158555,0.3885026710679185,0.2048072016504959,0.3865492794248225,0.3750052737949409,0.23844544678023671,0.42856492831148824,0.29435603363972634,0.2770790380487853,0.3920383016539292,0.37281580910075085,0.23514588924531996
2025-10-20_Getafe_Real Madrid,2025-10-20,赫塔费,皇家马德里,西甲,0,0.6846787764946393,0.1528999392830676,0.16242128422229318,0.6325871904249822,0.2677025931867148,0.09971021638830296,0.6391476659208855,0.269433216163177,0.09141911791593758,0.6519520721174936,0.2529396255971308,0.09510830228537555,0.6427135942991389,0.2659152924104317,0.09137111329042943
